"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1525.3","MA1525.3",2,2882,100,7.205,13.8792505204719,0.00518953098827471,"NFATC4",0.856260769054737
"MA2101.1","MA2101.1",2,3267,100,8.1675,12.243648607285,0.00666893047326184,"ZNF677",0.856260769054737
"MA1992.2","MA1992.2",2,3802,100,9.505,10.5207785376118,0.00903235205880147,"Ikzf3",0.856260769054737
"MA1930.2","MA1930.2",2,5213,100,13.0325,7.67312488010742,0.0169817720443011,"CTCF.2",0.856260769054737
"MA0139.2","MA0139.2",2,6395,100,15.9875,6.25488663017983,0.0255566576664417,"CTCF",0.856260769054737
"MA0821.2","MA0821.2",1,621,50,1.5525,32.2061191626409,0.030809356483912,"HES5",0.856260769054737
"MA1623.2","MA1623.2",2,7620,100,19.05,5.249343832021,0.0362863946598665,"Stat2",0.856260769054737
"MA0822.1","MA0822.1",1,766,50,1.915,26.1096605744125,0.0379337470936774,"HES7",0.856260769054737
"MA1560.2","MA1560.2",1,862,50,2.155,23.2018561484919,0.0426361246531162,"SOHLH2",0.856260769054737
"MA0467.3","MA0467.3",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"Crx",0.856260769054737
"MA0682.3","MA0682.3",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"PITX1",0.856260769054737
"MA0648.2","MA0648.2",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"GSC",0.856260769054737
"MA0891.2","MA0891.2",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"GSC2",0.856260769054737
"MA0711.2","MA0711.2",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"OTX1",0.856260769054737
"MA0714.2","MA0714.2",2,8361,100,20.9025,4.78411673244827,0.0436873171829296,"PITX3",0.856260769054737
"MA0014.4","MA0014.4",1,896,50,2.24,22.3214285714286,0.0442987874696867,"PAX5",0.856260769054737
"MA1943.2","MA1943.2",1,896,50,2.24,22.3214285714286,0.0442987874696867,"ETV2::HOXB13",0.856260769054737
"MA0686.2","MA0686.2",1,902,50,2.255,22.1729490022173,0.0445920485512137,"SPDEF",0.856260769054737
"MA0616.3","MA0616.3",1,917,50,2.2925,21.8102508178844,0.0453250043751093,"HES2",0.856260769054737
"MA1932.2","MA1932.2",1,950,50,2.375,21.0526315789474,0.046936517162929,"ELK1::HOXB13",0.856260769054737
"MA0831.3","MA0831.3",1,954,50,2.385,20.9643605870021,0.0471317595439886,"TFE3",0.856260769054737
"MA0823.1","MA0823.1",1,989,50,2.4725,20.2224469160768,0.0488392772319307,"HEY1",0.856260769054737
"MA0760.2","MA0760.2",1,1001,50,2.5025,19.98001998002,0.0494243593589839,"ERF",0.856260769054737
"MA1099.3","MA1099.3",1,1001,50,2.5025,19.98001998002,0.0494243593589839,"HES1",0.856260769054737
"MA0694.2","MA0694.2",1,1008,50,2.52,19.8412698412698,0.0497655741393533,"ZBTB7B",0.856260769054737
"MA1420.1","MA1420.1",1,1023,50,2.5575,19.5503421309873,0.0504965424135601,"IRF5",0.856260769054737
"MA0649.2","MA0649.2",1,1036,50,2.59,19.3050193050193,0.0511298207455184,"HEY2",0.856260769054737
"MA0098.4","MA0098.4",1,1088,50,2.72,18.3823529411765,0.0536608215205379,"ETS1",0.856260769054737
"MA0147.4","MA0147.4",1,1109,50,2.7725,18.034265103697,0.0546819982999576,"MYC",0.856260769054737
"MA0104.5","MA0104.5",1,1109,50,2.7725,18.034265103697,0.0546819982999576,"MYCN",0.856260769054737
"MA1931.1","MA1931.1",1,1141,50,2.8525,17.5284837861525,0.0562370171754291,"ELK1::HOXA1",0.856260769054737
"MA1933.2","MA1933.2",1,1159,50,2.8975,17.2562553925798,0.0571111527788196,"ELK1::SREBF2",0.856260769054737
"MA0019.2","MA0019.2",1,1177,50,2.9425,16.9923534409516,0.057984883372084,"Ddit3::Cebpa",0.856260769054737
"MA1949.2","MA1949.2",1,1184,50,2.96,16.8918918918919,0.0583245581139525,"FLI1::DRGX",0.856260769054737
"MA0059.2","MA0059.2",1,1188,50,2.97,16.8350168350168,0.0585186304657614,"MAX::MYC",0.856260769054737
"MA1533.2","MA1533.2",1,1257,50,3.1425,15.9108989657916,0.0618632303307582,"NR1I2",0.856260769054737
"MA0736.1","MA0736.1",1,1441,50,3.6025,13.8792505204719,0.0707530675766894,"GLIS2",0.856260769054737
"MA1722.2","MA1722.2",1,1443,50,3.6075,13.8600138600139,0.0708494637365932,"ZSCAN31",0.856260769054737
"MA1105.3","MA1105.3",1,1462,50,3.655,13.6798905608755,0.071764977874447,"GRHL2",0.856260769054737
"MA1122.2","MA1122.2",1,1485,50,3.7125,13.4680134680135,0.0728726280657017,"TFDP1",0.856260769054737
"MA0865.3","MA0865.3",1,1511,50,3.7775,13.2362673726009,0.0741239580989527,"E2F8",0.856260769054737
"MA0641.1","MA0641.1",1,1532,50,3.83,13.0548302872063,0.0751340308507711,"ELF4",0.856260769054737
"MA1515.2","MA1515.2",1,1570,50,3.925,12.7388535031847,0.0769603802595065,"KLF2",0.856260769054737
"MA0629.2","MA0629.2",1,1589,50,3.9725,12.586532410321,0.0778728780719516,"Rhox11",0.856260769054737
"MA1494.2","MA1494.2",1,1625,50,4.0625,12.3076923076923,0.079600583764594,"HNF4A",0.856260769054737
"MA1491.3","MA1491.3",1,1762,50,4.405,11.3507377979569,0.0861606502662566,"GLI3",0.856260769054737
"MA0645.2","MA0645.2",1,1871,50,4.6775,10.6894708711919,0.091363214080352,"ETV6",0.856260769054737
"MA1580.1","MA1580.1",1,1878,50,4.695,10.6496272630458,0.0916968161704044,"ZBTB32",0.856260769054737
"MA1707.2","MA1707.2",1,1966,50,4.915,10.1729399796541,0.095885445886147,"DMRTA1",0.856260769054737
"MA0115.1","MA0115.1",1,1991,50,4.9775,10.0452034153692,0.097073631840796,"NR1H2::RXRA",0.856260769054737
"MA0815.1","MA0815.1",1,2010,50,5.025,9.9502487562189,0.0979761306532665,"TFAP2C",0.856260769054737
"MA1532.2","MA1532.2",1,2020,50,5.05,9.9009900990099,0.0984509487737193,"NR1D2",0.856260769054737
"MA0883.2","MA0883.2",1,2037,50,5.0925,9.81836033382425,0.0992578526963174,"Dmbx1",0.856260769054737
"MA0693.4","MA0693.4",1,2050,50,5.125,9.75609756097561,0.0998746531163278,"Vdr",0.856260769054737
"MA1531.2","MA1531.2",1,2067,50,5.1675,9.67585873246251,0.100680919522988,"NR1D1",0.856260769054737
"MA1994.2","MA1994.2",1,2094,50,5.235,9.55109837631328,0.101960717767944,"Nkx2-1",0.856260769054737
"MA0512.2","MA0512.2",1,2099,50,5.2475,9.52834683182468,0.102197617440436,"Rxra",0.856260769054737
"MA0729.1","MA0729.1",1,2108,50,5.27,9.4876660341556,0.102623958098952,"RARA",0.856260769054737
"MA0856.1","MA0856.1",1,2112,50,5.28,9.46969696969697,0.102813410335258,"RXRG",0.856260769054737
"MA0859.2","MA0859.2",1,2120,50,5.3,9.43396226415094,0.10319225480637,"Rarg.1",0.856260769054737
"MA1479.2","MA1479.2",1,2136,50,5.34,9.36329588014981,0.103949703742594,"DMRTC2",0.856260769054737
"MA0855.1","MA0855.1",1,2142,50,5.355,9.33706816059757,0.104233664591615,"RXRB",0.856260769054737
"MA0872.1","MA0872.1",1,2157,50,5.3925,9.27213722763097,0.104943369834246,"TFAP2A",0.856260769054737
"MA0653.1","MA0653.1",1,2173,50,5.4325,9.2038656235619,0.105700078751969,"IRF9",0.856260769054737
"MA0489.3","MA0489.3",1,2177,50,5.4425,9.1869545245751,0.105889205980149,"Jun",0.856260769054737
"MA0860.1","MA0860.1",1,2191,50,5.4775,9.12825193975354,0.106550993774844,"Rarg",0.856260769054737
"MA0148.5","MA0148.5",1,2201,50,5.5025,9.08677873693776,0.107023549338733,"FOXA1",0.856260769054737
"MA0042.2","MA0042.2",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXI1",0.856260769054737
"MA0033.2","MA0033.2",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXL1",0.856260769054737
"MA0848.1","MA0848.1",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXO4",0.856260769054737
"MA0850.1","MA0850.1",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXP3",0.856260769054737
"MA2117.1","MA2117.1",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXP4",0.856260769054737
"MA0480.3","MA0480.3",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"Foxo1",0.856260769054737
"MA1683.2","MA1683.2",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXA3",0.856260769054737
"MA0031.2","MA0031.2",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXD1",0.856260769054737
"MA1606.2","MA1606.2",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"Foxf1",0.856260769054737
