query,domain,species,target_id,gene,bit_score,evalue,note
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,10090,sp|P13405|RB_MOUSE,SV=1,1808.2,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,10090,sp|Q64700|RBL2_MOUSE,SV=1,1225.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,10090,sp|Q64701|RBL1_MOUSE,SV=1,1109.5,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,10090,sp|Q3UAW9|BRF2_MOUSE,SV=1,10.9,0.073,borderline_noise
RB1,full_protein,4932,NA,NA,NA,NA,zero_hits(n=0)
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7227,sp|Q24472|RBF_DROME,SV=1,812.4,1.1e-244,real_hit
RB1,full_protein,7955,NA,NA,NA,NA,zero_hits(n=0)
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M1NAN6|A0A8M1NAN6_DANRE,SV=1,1498.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0AC58IA68|A0AC58IA68_DANRE,SV=1,1470.5,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M3AZW2|A0A8M3AZW2_DANRE,SV=1,1202.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0ACD6B5T3|A0ACD6B5T3_DANRE,SV=1,1198.6,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M1NIS0|A0A8M1NIS0_DANRE,SV=1,1133.8,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M9QAH9|A0A8M9QAH9_DANRE,SV=1,1126.7,0,real_hit
