"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"chr12-68807346-68808936",2.00094651393047e-23,-1.36186843962199,0.209,0.558,3.05572545928377e-18
"chr12-68830103-68830464",4.27118438358621e-06,-8.6109220148958,0,0.036,0.652269651954984
"chr20-33684720-33685449",8.29904766568411e-05,2.82067812338468,0.044,0.014,1
"chr20-33685825-33686880",0.0558109383500997,-0.232079872609342,0.215,0.325,1
