#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
tr|A0ACI8TFW9|A0ACI8TFW9_HUMAN -          RB_A                 PF01858.23   3.2e-81  275.0   2.1     2e-79  269.1   0.5   2.8   3   0   0   3   3   2   1 RB transcriptional corepressor like 1 OS=Homo sapiens OX=9606 GN=RBL1 PE=4 SV=1
sp|P28749|RBL1_HUMAN           -          RB_A                 PF01858.23   4.6e-81  274.5   1.8   2.9e-79  268.7   0.5   2.9   3   0   0   3   3   2   1 Retinoblastoma-like protein 1 OS=Homo sapiens OX=9606 GN=RBL1 PE=1 SV=3
tr|A0ACI8TFY4|A0ACI8TFY4_HUMAN -          RB_A                 PF01858.23   4.9e-81  274.4   1.9   2.6e-79  268.8   0.5   2.8   3   0   0   3   3   2   1 RB transcriptional corepressor like 1 OS=Homo sapiens OX=9606 GN=RBL1 PE=4 SV=1
tr|A0ACI8TZ23|A0ACI8TZ23_HUMAN -          RB_A                 PF01858.23   5.3e-78  264.5   0.5   9.3e-76  257.2   0.2   2.9   3   0   0   3   3   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8QJ14|A0ACI8QJ14_HUMAN -          RB_A                 PF01858.23   5.7e-78  264.4   0.4   9.3e-76  257.2   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8UJJ9|A0ACI8UJJ9_HUMAN -          RB_A                 PF01858.23   5.8e-78  264.4   0.4   9.3e-76  257.2   0.2   2.8   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8UN00|A0ACI8UN00_HUMAN -          RB_A                 PF01858.23   5.8e-78  264.4   0.4   9.5e-76  257.2   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8QLQ6|A0ACI8QLQ6_HUMAN -          RB_A                 PF01858.23   5.9e-78  264.4   0.4   9.8e-76  257.1   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8QKB9|A0ACI8QKB9_HUMAN -          RB_A                 PF01858.23     6e-78  264.3   0.4   9.7e-76  257.1   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8UJK9|A0ACI8UJK9_HUMAN -          RB_A                 PF01858.23   6.3e-78  264.3   0.4   9.7e-76  257.1   0.2   2.8   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8R8K1|A0ACI8R8K1_HUMAN -          RB_A                 PF01858.23   6.5e-78  264.2   0.4     1e-75  257.1   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
sp|Q08999|RBL2_HUMAN           -          RB_A                 PF01858.23   6.6e-78  264.2   0.4     1e-75  257.0   0.2   2.9   2   0   0   2   2   2   1 Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3
tr|A0ACI8S704|A0ACI8S704_HUMAN -          RB_A                 PF01858.23   6.7e-78  264.2   0.8     9e-76  257.2   0.2   2.9   3   0   0   3   3   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8SB16|A0ACI8SB16_HUMAN -          RB_A                 PF01858.23   6.8e-78  264.2   0.4     1e-75  257.0   0.2   2.9   2   0   0   2   2   2   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|F5H837|F5H837_HUMAN         -          RB_A                 PF01858.23     2e-76  259.3   0.2   3.8e-76  258.5   0.2   1.5   1   0   0   1   1   1   1 RB transcriptional corepressor like 2 (Fragment) OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=2
tr|A0ACI8UJP9|A0ACI8UJP9_HUMAN -          RB_A                 PF01858.23   2.2e-76  259.2   0.4   6.6e-76  257.7   0.2   2.0   3   0   0   3   3   1   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8R2Y1|A0ACI8R2Y1_HUMAN -          RB_A                 PF01858.23   2.5e-76  259.0   0.2   7.8e-76  257.4   0.2   1.9   2   0   0   2   2   1   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8QII3|A0ACI8QII3_HUMAN -          RB_A                 PF01858.23   2.6e-76  259.0   0.2   9.9e-76  257.1   0.2   2.1   1   0   0   1   1   1   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|A0ACI8UJK7|A0ACI8UJK7_HUMAN -          RB_A                 PF01858.23   2.6e-76  259.0   0.3   8.5e-76  257.3   0.2   2.0   2   0   0   2   2   1   1 RB transcriptional corepressor like 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=4 SV=1
tr|B4DRB3|B4DRB3_HUMAN         -          RB_A                 PF01858.23   2.1e-67  229.9   2.6   6.5e-67  228.3   0.7   2.6   2   0   0   2   2   2   1 Retinoblastoma-associated protein OS=Homo sapiens OX=9606 PE=2 SV=1
