query,domain,species,target_id,gene,bit_score,evalue,note
P28749,full_protein,rb,P28749,NA,8290,0.000E+00,foldseek_hit
Q08999,full_protein,rb,P28749,NA,3351,1.598E-87,foldseek_hit
P06400,full_protein,rb,P28749,NA,1254,4.081E-36,foldseek_hit
P62915,full_protein,rb,P28749,NA,58,3.918E-02,foldseek_hit
Q80UU9,full_protein,rb,P28749,NA,1,9.918E+00,foldseek_hit
Q80UU9,full_protein,rb,Q80UU9,NA,1542,3.833E-41,foldseek_hit
P06400,full_protein,rb,Q80UU9,NA,6,6.355E+00,foldseek_hit
P28749,full_protein,rb,Q80UU9,NA,1,8.467E+00,foldseek_hit
Q08999,full_protein,rb,Q80UU9,NA,1,8.938E+00,foldseek_hit
P62915,full_protein,rb,Q80UU9,NA,0,9.909E+00,foldseek_hit
Q08999,full_protein,rb,Q08999,NA,8587,0.000E+00,foldseek_hit
P28749,full_protein,rb,Q08999,NA,3413,2.471E-87,foldseek_hit
P06400,full_protein,rb,Q08999,NA,1156,9.637E-35,foldseek_hit
P62915,full_protein,rb,Q08999,NA,68,2.076E-02,foldseek_hit
P62915,full_protein,rb,P62915,NA,2471,1.175E-51,foldseek_hit
P28749,full_protein,rb,P62915,NA,68,7.955E-03,foldseek_hit
Q08999,full_protein,rb,P62915,NA,63,7.955E-03,foldseek_hit
P06400,full_protein,rb,P62915,NA,39,4.791E-02,foldseek_hit
Q80UU9,full_protein,rb,P62915,NA,1,8.678E+00,foldseek_hit
P06400,full_protein,rb,P06400,NA,6925,0.000E+00,foldseek_hit
P28749,full_protein,rb,P06400,NA,1293,5.670E-34,foldseek_hit
Q08999,full_protein,rb,P06400,NA,1173,1.090E-32,foldseek_hit
P62915,full_protein,rb,P06400,NA,36,2.901E-01,foldseek_hit
Q80UU9,full_protein,rb,P06400,NA,2,9.317E+00,foldseek_hit
