query,domain,species,target_id,gene,bit_score,evalue,note
P28749,full_protein,rb,P28749,,8290,0.0,foldseek_hit
Q08999,full_protein,rb,P28749,,3351,1.598e-87,foldseek_hit
P06400,full_protein,rb,P28749,,1254,4.081e-36,foldseek_hit
P62915,full_protein,rb,P28749,,58,0.03918,foldseek_hit
Q80UU9,full_protein,rb,P28749,,1,9.918,foldseek_hit
Q80UU9,full_protein,rb,Q80UU9,,1542,3.8329999999999997e-41,foldseek_hit
P06400,full_protein,rb,Q80UU9,,6,6.355,foldseek_hit
P28749,full_protein,rb,Q80UU9,,1,8.467,foldseek_hit
Q08999,full_protein,rb,Q80UU9,,1,8.938,foldseek_hit
P62915,full_protein,rb,Q80UU9,,0,9.909,foldseek_hit
Q08999,full_protein,rb,Q08999,,8587,0.0,foldseek_hit
P28749,full_protein,rb,Q08999,,3413,2.471e-87,foldseek_hit
P06400,full_protein,rb,Q08999,,1156,9.637e-35,foldseek_hit
P62915,full_protein,rb,Q08999,,68,0.02076,foldseek_hit
P62915,full_protein,rb,P62915,,2471,1.175e-51,foldseek_hit
P28749,full_protein,rb,P62915,,68,0.007955,foldseek_hit
Q08999,full_protein,rb,P62915,,63,0.007955,foldseek_hit
P06400,full_protein,rb,P62915,,39,0.04791,foldseek_hit
Q80UU9,full_protein,rb,P62915,,1,8.678,foldseek_hit
P06400,full_protein,rb,P06400,,6925,0.0,foldseek_hit
P28749,full_protein,rb,P06400,,1293,5.67e-34,foldseek_hit
Q08999,full_protein,rb,P06400,,1173,1.09e-32,foldseek_hit
P62915,full_protein,rb,P06400,,36,0.2901,foldseek_hit
Q80UU9,full_protein,rb,P06400,,2,9.317,foldseek_hit
Q08999,pocket_domain,3067,D8U5W5,MAT3,7,1.221E+00,foldseek_hit
P06400,pocket_domain,3067,D8U5W5,MAT3,6,1.773E+00,foldseek_hit
P06400,pocket_domain,3702,P56711,RBR1,-2,5.451E+00,foldseek_hit
P62915,pocket_domain,3067,D8U5W5,MAT3,9,4.078E-01,foldseek_hit
Q80UU9,pocket_domain,3067,D8U5W5,MAT3,3,3.338E+00,foldseek_hit
P28749,pocket_domain,3067,D8U5W5,MAT3,5,1.718E+00,foldseek_hit
